alias_tamil,alias_english,tamil,english,alias_tamil_sentence,alias_english_sentence,tamil_sentence,english_sentence,category,source
மீ,mee,நான்,Me,மீ துரெ வத்3தி3,mee ture vaddi,நான் உங்கள் ஆசிரியர்,I'm your teacher,pron,corpus_sourashtradictionary
தூ,too,நீ,You,தூ அவரியொயா?,too avariyoyaa?,நீ வருகிறாயா?,Are you coming?,pron,corpus_sourashtradictionary
அமி,ami,நாங்கள்,We,அமி சென்னையும் ஜிவரியொ,ami cennaiyum jivariyo,நாங்கள் சென்னையில் வசிக்கிறோம்,We live in Chennai,pron,corpus_sourashtradictionary
துமி,tumi,நீங்கள்,You,துமி கோட் ஜிவரியொ?,tumi kOT jivariyo?,நீங்கள் எங்கே வசிக்கிறீர்கள்?,Where do you live?,pron,corpus_sourashtradictionary
எனொ,eno,"இவன், இவள்","He, She",எனொ மொரெ ந்ஹன் ப4ய்,eno more nhan bhay,இவன் என் இளைய சகோதரன்,He is my younger brother,pron,corpus_sourashtradictionary
தெனொ,teno,"அவன், அவள்","He, She",தெனொ சொவ்து3ம் கெ4டி3கெத்தான்,teno covdum gheDikettaan,அவன் படிப்பில் கெட்டிக்காரன்,He is smarter in the study,pron,corpus_sourashtradictionary
தென்தெனு,tentenu,அவனவன்,Everyone,தென்தெனு தெங்கொ3 தெங்கொ3 வாடும் ஜியாஸ்,tentenu tenggo tenggo vaaTum jiyaas,அவரவர் அவரவர் வழியில் சென்றனர்,Everyone went on their own way,pron,corpus_sourashtradictionary
எனு,enu,"இவர், இவர்கள்","He, They",எனு கோட் காம் கெரரியொ?,enu kOT kaam kerariyo?,இவர் எங்கே வேலை செய்கிறார்?,Where is he working?,pron,corpus_sourashtradictionary
தெனு,tenu,"அவர், அவர்கள்","He, They",தெனு விரதி ப2ராது கோ3ஸ் ஸே,tenu virati pharaatu gOs sE,அவர் பணி ஓய்வுக்குப் பிறகு சும்மா இருக்கிறார்,He is idle after retirement,pron,corpus_sourashtradictionary
அஸ்கிதெனு,askitenu,எல்லோரும்,Everyone,அஸ்கிதெனு ஸொந்தோஷ்கன் ஸே,askitenu sontOshkan sE,எல்லோரும் மகிழ்ச்சியாக இருக்கிறார்கள்,Everyone is happy,pron,corpus_sourashtradictionary
கொன்னிதெனு,konnitenu,"யாரும், யாருமே","No one, Nobody",காய் கெர்னொ மெனி கொன்னிதெனு ஸங்க்3யானி,kaay kerno meni konnitenu sanggyaani,என்ன செய்வது என்று யாரும் சொல்லவில்லை,No one told us what to do,pron,corpus_sourashtradictionary
கோன்தி,kOnti,"யாரோ, யாராவது",Someone,கோன்தி பை2லொ ஹர்ம்ப3ம் கெர்னொ,kOnti phailo harmbam kerno,யாராவது முதலில் தொடங்க வேண்டும்,Someone should start first,pron,corpus_sourashtradictionary
ஒக்கொக்கொ,okkokko,ஒவ்வொரு,Every,ஒக்கொக்கொ ஒர்ஸும் ஹுன்னொ வேன் ஹோரஸ்,okkokko orsum hunno vEn hOras,ஒவ்வொரு ஆண்டும் வெப்பம் அதிகமாகிறது,Every year it gets hotter,pron,corpus_sourashtradictionary
ஸவ,sava,அனைத்து,All,ஸவ ஜீவுனுக் ஜிவத்தக் தீ4னு ஸேத்தெ,sava jeevunuk jivattak dheenu sEtte,அனைத்து உயிரினங்களுக்கும் வாழ உரிமை உண்டு,All living beings have the right to live,pron,corpus_sourashtradictionary
அஸ்கி,aski,"எல்லாம், அனைத்து, அனைத்தும்","All, Everything",அஸ்கி பரீக்ஷானுக் தொ3ப்3பி3 தொ2வ்தியா,aski pareekshaanuk dobbi thovtiyaa,அனைத்து தேர்வுகளையும் ஒத்திவைத்தனர்,All exams were postponed,pron,corpus_sourashtradictionary
பூரா,pooraa,"எல்லாம், அனைத்து, அனைத்தும்","All, Everything",தெல்லெ பூரா தூ மென ஹோனா !!,telle pooraa too mena hOnaa !!,அதை எல்லாம் நீ சொல்லக்கூடாது !!,You should not say all that !!,pron,corpus_sourashtradictionary
அஸ்கியொ,askiyo,அனைத்தையும்,Everything,கெ3ருவ் அஸ்கியொ நஸினம் கெர்த்தை,geruv askiyo nasinam kerttai,ஆணவம் அனைத்தையும் அழித்துவிடும்,Arrogance will destroy everything,pron,corpus_sourashtradictionary
இக்கூயொ,ikkooyo,"இவையெல்லாம், இவை அனைத்தும்",All this,இக்கூயொ கோட் ர்ஹீ அவெயொ ?,ikkooyo kOT rhee aveyo ?,இவையெல்லாம் எங்கிருந்து வந்தது ?,Where did all this come from?,pron,corpus_sourashtradictionary
அஸ்கொ,asko,"முழுவதும், முற்றிலும்","Absolutely, Altogether, Totally, Completely, Entirely",தெல்லெ அஸ்கொ நஜ்ஜிரஸ்,telle asko najjiras,அது முழுவதும் கெட்டுவிட்டது,It was altogether spoiled,pron,corpus_sourashtradictionary
பூராக்,pooraak,"முழுவதும், முற்றிலும்","Absolutely, Altogether, Totally, Completely, Entirely",பூராக் பிஸத்தனம் ஹொயெ காம் மெனெத் எல்லேஸிஸ்,pooraak pisattanam hoye kaam menet ellEsis,முற்றிலும் பைத்தியக்கார வேலை என்றால் இதுதான்,This is what absolutely crazy work means,pron,corpus_sourashtradictionary
கொன்னி,konni,எதுவும்,"Nobody, Nothing",ஏட் கொன்னி சோட் ந்ஹீ !,ET konni cOT nhee !,இங்கே எதுவும் நன்றாக இல்லை !,Nothing is good here !,pron,corpus_sourashtradictionary
கொஞி,konji,எதுவும்,"Nobody, Nothing",தேகு ஜா2டு3க் கொஞி மத்தின் கா2னி,tEku jhaaDuk konji mattin khaani,தேக்கு மரத்தை எந்த மண்ணும் உண்பதில்லை,Teak wood is not eaten by any soil,pron,corpus_sourashtradictionary
கொன்னி ந்ஹீ,konni nhee,எதுவும் இல்லை,"None, Nothing",தெகொ3ஜொவள் கொன்னி ந்ஹீ,tegojovaL konni nhee,அவனிடம் எதுவும் இல்லை,He had none,pron,corpus_sourashtradictionary
கொன்னி ந்ஹா,konni nhaa,ஒன்றும் இல்லை,"None, Nothing","கொன்னி ந்ஹா, அஸ்கி ஸெர்க்கொ ஸேயா மெனி ஸாரியோ","konni nhaa, aski serkko sEyaa meni saariyO","ஒன்றுமில்லை, எல்லாம் சரியாக இருக்கிறதா என்று பார்க்கிறேன்","Nothing, I am just checking everything is fine",pron,corpus_sourashtradictionary
து3ஸ,dusa,வேறு,Any other,து3ஸ காய்தி வாட் ஸேயா?,dusa kaayti vaaT sEyaa?,வேறு ஏதாவது வழி இருக்கிறதா?,Is there any other way?,pron,corpus_sourashtradictionary
து3ஸுரெ,dusure,"பிற, அல்லது, வேறு சில","Other, Else, Some other",து3ஸுரெ ராஜ்யமு மென்க்யான் மெல்லொ செரரியொ,dusure raajyamu menkyaan mello cerariyo,பிற மாநில மக்களும் இணைகின்றனர்,People from other states are also joining,pron,corpus_sourashtradictionary
து3ஸ்ரொ,dusro,"பிற, அல்லது, வேறு சில","Other, Else, Some other",து3ஸ்ரொ காய் பஜெ?,dusro kaay paje?,வேறென்ன வேண்டும்?,What else is needed?,pron,corpus_sourashtradictionary
ஸேத்தெ,sEtte,இருக்கிறேன்,Am,மீ பொருங்கி3டி3ம் ஸேத்தெ,mee porunggiDim sEtte,நான் பரமக்குடியில் இருக்கிறேன்,I am in Paramakudi,pron,corpus_sourashtradictionary
ஸே,sE,"இருக்கின்றன, உள்ளன",Are,ஜு2கு3 வனினுன் ஸே,jhugu vaninun sE,நிறைய வண்ணங்கள் உள்ளன,There are lot of colors,pron,corpus_sourashtradictionary
ஸே,sE,"இருக்கிறது, உள்ளது","Is, Has, Have",தெகொ3ஜொவள் ஒண்டெ செடா3வ் ஹொயெ பொ3ண்டி3 ஸே,tegojovaL oNTe ceDaav hoye boNDi sE,அவரிடம் ஒரு உயர்ந்த கார் உள்ளது,He has a superior car,pron,corpus_sourashtradictionary
ந்ஹீ,nhee,இல்லை,"Do not have, Does not have, Has no, Have no",மொரெஜொவல் ந்ஹீ. தெகொ3ஜொவள் மெல்லொ ந்ஹீ,morejoval nhee. tegojovaL mello nhee,என்னிடம் இல்லை. அவளிடம் கூட இல்லை,I do not have it. She doesn’t have that either,pron,corpus_sourashtradictionary
ந்ஹீ,nhee,இல்லை,"Am not, Is not, Was not, Were not",தேட் காய் ந்ஹீ?,tET kaay nhee?,அங்கு என்ன இல்லை?,What is not there?,pron,corpus_sourashtradictionary
ந்ஹீ,nhee,இல்லை,"No, Nope",ஹிந்தொ3 பொள்டம் ந்ஹீ,hindo poLTam nhee,இன்று பாடசாலை இல்லை,No school today,pron,corpus_sourashtradictionary
"ந்ஹா, ந்ஹானா","nhaa, nhaanaa",அல்ல,Not,மீ தெனொ ந்ஹா,mee teno nhaa,நான் அவன் இல்லை,I am not him,pron,corpus_sourashtradictionary
ந்ஹிநாத்தொ,nhinaatto,இல்லாமல்,Without,துமி ந்ஹிநாத்தொ காம் சல் ர்ஹானா,tumi nhinaatto kaam cal rhaanaa,நீங்கள் இல்லாமல் வேலை நடந்திருக்காது,The work would not have happened without you,pron,corpus_sourashtradictionary
"ந்ஹாத்தொ, ந்ஹாத்தக்","nhaatto, nhaattak",இல்லாமல்,Without,அமி ஸில்லொ வரா பெடி ந்ஹாத்தக் கெஷ்டம் பொட்டியா,ami sillo varaa peTi nhaattak keshTam poTTiyaa,நாங்கள் குளிரூட்டி இல்லாமல் அவதிப்பட்டோம்,We suffered without air conditioning,pron,corpus_sourashtradictionary
