example_sentence_sourashtra,example_sentence_english,example_sentence_tamil
ஹுன்னொ தூ3த் நிவாத்தவேள் தெகொ3 ஹொல்லொ ஸாய் ப4ந்தா3ஸு,Skin forms on hot milk when it cools,சூடான பால் குளிரும் போது அதன் மீது ஏடு உருவாகிறது
உத்தர் பா4ரதும் சாய் பெனார் வேனு,North India has a large number of tea drinkers,வட இந்தியாவில் தேநீர் குடிப்பவர்கள் அதிகம்
நுரு ஸெரொ காப்பி பியெத் ருச்சிகன் லக3ஸு,Drinking coffee with foam is delicious,நுரையுடன் காபி குடித்தால் சுவையாக இருக்கும்
கு3ள்ளு காப்பி அத்தொ அஸ்கி தேட் அப்3ப3ரஸ்,Palm jaggery coffee is now available everywhere,கருப்பட்டி காபி இப்போது எல்லா இடங்களிலும் கிடைக்கிறது
பொஷ்ஷெக் ஸொண்டி காப்பி ஜு2க்கு சொக்கடு3,Dried ginger coffee is very good for cold,ஜலதோஷத்திற்கு சுக்கு காபி மிகவும் நல்லது
மிடா2ய் ஒப்பனாத்த பில்லல்னு ஸேயா?,Got kids who don't like candy?,மிட்டாய் பிடிக்காத குழந்தைகள் உண்டா?
"பேஸு மிடா2ய் ஜுகு3 ஆகாரும்கின், வனிம் அப்3ப3ஸு",Jelly candy is available in various shapes and colors,ஜெல்லி மிட்டாய் பல்வேறு வடிவங்களிலும் வண்ணங்களிலும் கிடைக்கிறது
பெ3ங்கா3லு கு3ள்ளெயொ வேன் நாவ் பொடெ3யொ,Bengali sweets are very popular,பெங்காலி இனிப்புகள் மிகவும் பிரபலமானவை
"தி3வளி வேள், ஜு3கு3 தெனு கொ4ம்மொ கு3ள்ளெயொ, திக்கெயொ கெரஸுனு","During Diwali, many people prepare sweets and savouries at home",தீபாவளியின் போது பலர் வீட்டில் இனிப்புகள் மற்றும் கார வகைகளை தயார் செய்வார்கள்
தெ3ளெ பீடும் கெரெ நெக்3கு3ன் போடுக் சோட் ந்ஹா,Snacks made from Gram flour are not good for the stomach,கடலை மாவில் செய்த பலகாரங்கள் வயிற்றுக்கு நல்லதல்ல
ப4ஜ்ஜி மெனெத் தெல்லெ கச்செகெளா ப4ஜ்ஜிஸீ,Bajji means banana fritters only,பஜ்ஜி என்றால் அது வாழைக்காய் பஜ்ஜி தான்
எல்லெ கேளுபூ2ல் வடொ3. க2யி ஸவொ !!,This is banana blossom vada. Taste it !!,இது வாழைப்பூ வடை. சாப்பிட்டு பாருங்கள் !!
குத்தலம் மெனெத் ஆம்ப3டொ3கின் சாய் ஹவ்ட3ன் அவஸ்,Courtalam brings to mind masala vada and tea,குற்றாலம் என்றால் மசால் வடையும் தேநீரும் நினைவுக்கு வருகிறது
பெ3ங்க3ளூரும் மீடு3 வடொ3 ம்ஹொட்டொ ர்ஹாயி,Medu vada is big in Bangalore,பெங்களூரில் மெதுவடை பெரிதாக இருக்கும்
பொருங்கிடி3 கு3ள்ளு வடொ3 பெ4ளி ருசிகன் ஸே,Paramakkudi jaggery donut is very tasty,பரமக்குடி வெல்ல வடை மிக சுவையாக இருக்கிறது
"கு3ள்ளெயொ, திக்கெயொ மெனி தீ3 ப்ரகார் ஸுகு3ண்டா3ன் ஸே","There are two types of steamed rice balls, sweet and savory","இனிப்பு, காரம் என இரண்டு வகை போண்டாக்கள் உண்டு"
பொவ்ஸுவேள் ஹுன்னொகன் பகோடா3 க2யெத் ஶோப4னொகன் ர்ஹாய்,Eating hot pakora during rain will be superb,மழையின் போது சூடாக பக்கோடா சாப்பிட்டால் அருமையாக இருக்கும்
ஹிந்தா3 நாஸ்தொ ரொட்டிகின் பொள்ளா கெ3ஸி,Today's breakfast is bread and jam,இன்றைய காலை உணவு பிரட் மற்றும் ஜாம்
பைடி3 ரொட்டிக் லொனிகின் பொள்ளா கெ3ஸி ஸெரொ கா2ஸுன்,Bun is eaten with butter and jam,பன்னை வெண்ணெய் மற்றும் ஜாம் உடன் சாப்பிடுகிறார்கள்
"பொள்ளானுக் வடி3, தப்படி3, கெ4டி3 பொட3டி பொள்ளா கெ3ஸி கெரஸுன்","Fruit jam is made by grinding, boiling and thickening the fruits","பழங்களை அரைத்து, வேகவைத்து, கெட்டியாக்கி பழ ஊறல் செய்கிறார்கள்"
